Accuracy,Val Accuracy,Loss,Val Loss
0.41762179136276245,0.5748746395111084,2.1794464588165283,1.6083539724349976
0.6695916652679443,0.6716026067733765,1.2226942777633667,1.2381706237792969
0.805575430393219,0.7248626947402954,0.6981445550918579,1.1160027980804443
0.9016236662864685,0.7284451723098755,0.338725209236145,1.3630913496017456
0.9540950059890747,0.7336995601654053,0.16098347306251526,1.451875925064087
0.9692574143409729,0.7272509932518005,0.10370384156703949,1.6272684335708618
0.9782115817070007,0.7356102466583252,0.07455314695835114,1.7701414823532104
0.981733500957489,0.7370432019233704,0.061505258083343506,1.8769758939743042
0.9801814556121826,0.7379985451698303,0.0663139820098877,1.8578433990478516
0.9865687489509583,0.7336995601654053,0.04270079731941223,2.1658647060394287
0.9848973155021667,0.7406257390975952,0.04925525188446045,2.335225820541382
0.9779130816459656,0.7270121574401855,0.06607169657945633,2.2952053546905518
